ItemID,StockUrl,StockStatus,Quantity,Status,ErrorCode,ShortMessage,LongMessage
355618236013,https://item.fril.jp/01ac27ea4db6c4eb83129b9e77bb0f60,,0,error,21916750,FixedPrice item ended.,"You are not allowed to revise an ended item ""355618236013""."
355627700613,https://item.fril.jp/01b6a68f6b0cd8c8e0002f98e39a9c84,購入に進む,1,error,21916750,FixedPrice item ended.,"You are not allowed to revise an ended item ""355627700613""."
355871084547,https://item.fril.jp/01239013fe68d3a76718982d7ac11850,購入に進む,1,error,21917092,Requested Quantity revision is redundant.,"The existing quantity value is identical to the quantity specified in the request and, therefore, is not modified."
355635962830,https://item.fril.jp/037007f239e192fdee3a9b9b3b12f5e8,購入に進む,1,error,21917092,Requested Quantity revision is redundant.,"The existing quantity value is identical to the quantity specified in the request and, therefore, is not modified."
,https://item.fril.jp/0376d6e2badaffb71353baeef9a144ad,購入に進む,1,success,,,
355627700563,https://item.fril.jp/02057c5ebe6d4999b9650b7a40fbfc51,,0,error,21916750,FixedPrice item ended.,"You are not allowed to revise an ended item ""355627700563""."
,https://item.fril.jp/041c121df416f66cd2b64c1f67349a31,,0,success,,,
,https://item.fril.jp/045520eca409cf85050256a974968bbf,購入に進む,1,success,,,
,https://item.fril.jp/03e7dd2cc694dab4c3eb559898514b9f,,0,success,,,
,https://item.fril.jp/0456bd3bb157899822c572d892e54066,購入に進む,1,success,,,
,https://item.fril.jp/04af4cd915465f366db56d36ff6dcaf0,購入に進む,1,success,,,
,https://item.fril.jp/04a6351eb6a697cdaf9a73e4d107886a,購入に進む,1,success,,,
,https://item.fril.jp/05669d24f3a739f8b0952514c7448881,,0,success,,,
,https://item.fril.jp/053d0e3743eb86a4da5d4ba29d49eee3,購入に進む,1,success,,,
,https://item.fril.jp/04b88238c75c903946a6b3266cfd7772,購入に進む,1,success,,,
,https://item.fril.jp/063e9d7e58d7a13f4b5db28f399fe14c,購入に進む,1,success,,,
,https://item.fril.jp/057b8102ca1d53d0347535f214439749,購入に進む,1,success,,,
,https://item.fril.jp/069c22ab9bbbc9dfafcf0ea1496d1608,,0,success,,,
,https://item.fril.jp/07e7c7ce94556a4dd1f371fa8978c3cb,,0,success,,,
,https://item.fril.jp/06fc5fd0ca20078c882adb5dc4d20c3a,購入に進む,1,success,,,
,https://item.fril.jp/070c34e45942fc9ba084d2fbb8a3f0f9,,0,success,,,
,https://item.fril.jp/08c983f525f2f817373fcc726ba75ca0,購入に進む,1,success,,,
,https://item.fril.jp/084d21d8bf502d2ba17e76c9cdd25d9a,,0,success,,,
,https://item.fril.jp/09c8174ad35bb8c0c4c77067f21db044,,0,success,,,
,https://item.fril.jp/0b18a307813a5b959c97d2de144e4ba9,,0,success,,,
,https://item.fril.jp/08ff1bc037b865ac8c2ad82856dec48a,,0,success,,,
,https://item.fril.jp/0b0c744af8cd9293207532e2009d284e,購入に進む,1,success,,,
,https://item.fril.jp/0b5fb144287cc4847969fc563e6521b0,購入に進む,1,success,,,
,https://item.fril.jp/0bb0662b0e7c709ef5347345de6f7288,購入に進む,1,success,,,
,https://item.fril.jp/0b32b46702637192289d46b096357147,,0,success,,,
,https://item.fril.jp/0c3cb60a07d124a7838ae403cd168c52,,0,success,,,
,https://item.fril.jp/0d8e070fe8f15e54615ad0077a215d15,,0,success,,,
,https://item.fril.jp/0c90656db74806db507fb38f463d6a36,購入に進む,1,success,,,
,https://item.fril.jp/0e004296451c73210a401de879f51af3,購入に進む,1,success,,,
,https://item.fril.jp/0eac8683c559b2ba5754d3fe8b971666,購入に進む,1,success,,,
,https://item.fril.jp/0de6ab4ed37afe12c694dfe5f6b18331,,0,success,,,
,https://item.fril.jp/0ff11bc311ef530e73046e6fbe0fb4d7,,0,success,,,
,https://item.fril.jp/0ecd19f1237e559d174884fd8a2b1e6f,購入に進む,1,success,,,
,https://item.fril.jp/10adaba1054acf73d4fe05a364c258ac,購入に進む,1,success,,,
,https://item.fril.jp/1185eb2d0b70baeec74f37bc00711426,購入に進む,1,success,,,
,https://item.fril.jp/10bc6cfdcb7ddfea7fcae2505c6f302b,購入に進む,1,success,,,
,https://item.fril.jp/10b619701f2a8e24d81bc62a66646d4c,,0,success,,,
,https://item.fril.jp/14a141344e4bdb2588df135fdd5310a1,,0,success,,,
,https://item.fril.jp/1407b227d5a0b423a5c7f3322c378682,,0,success,,,
,https://item.fril.jp/11ecfdc6509efbc387971610836f7b2c,,0,success,,,
,https://item.fril.jp/152cef314a8d3a957701f2095f741ec6,,0,success,,,
,https://item.fril.jp/14e406069a5ffad5463d66c408cbfe10,購入に進む,1,success,,,
,https://item.fril.jp/1507da36e195918e77ef960f79395cb6,購入に進む,1,success,,,
,https://item.fril.jp/15f01f442297ae3376e252bce2484d0a,購入に進む,1,success,,,
,https://item.fril.jp/15c6b4386ca3fd0e7f27bcbfa2394ad3,購入に進む,1,success,,,
,https://item.fril.jp/1536b994862398e791a038a91dcd0fb2,購入に進む,1,success,,,
,https://item.fril.jp/16971979ef2b9f3ae7ad34562b7b43e9,,0,success,,,
,https://item.fril.jp/175e56a6a175d947341b2d63ff712638,,0,success,,,
,https://item.fril.jp/16d864352c66bcab62a293b6865d63a6,,0,success,,,
,https://item.fril.jp/183ba3f477d957e7fca6932dbba2371c,,0,success,,,
,https://item.fril.jp/174a42b486720f3a8356da5ca365b946,,0,success,,,
,https://item.fril.jp/1810f7e99dfb5c980922bd76af6eae56,購入に進む,1,success,,,
,https://item.fril.jp/1980823ab2a2b9f4713985cbfd2f311c,,0,success,,,
,https://item.fril.jp/19d7c5b196135f2694506d0c5a1913ef,,0,success,,,
,https://item.fril.jp/1ae806bf6e0e71c0f6530e3327d3e2c9,,0,success,,,
,https://item.fril.jp/1b9cc31d924e3f8a41231d5bfcefba03,購入に進む,1,success,,,
,https://item.fril.jp/1afd47b053b6a0b93cff547330590283,,0,success,,,
,https://item.fril.jp/1b71bf0df6772a4bac260bc1b08752cd,,0,success,,,
,https://item.fril.jp/1c3489bdbb561fd8bd93b821f21f537f,購入に進む,1,success,,,
,https://item.fril.jp/1ce8245b96d7609b320e3afb53fab5e2,,0,success,,,
,https://item.fril.jp/1bed33f27f432005d51883483cef1aeb,購入に進む,1,success,,,
,https://item.fril.jp/1d176baf089261e8928db64c391b3b45,購入に進む,1,success,,,
,https://item.fril.jp/1e4e3e0aa6fcc18592efe9dfa87645d8,,0,success,,,
,https://item.fril.jp/1ce9b7c6321efb119042ba85eec3f1f4,購入に進む,1,success,,,
,https://item.fril.jp/1e5641e90262bba6107b72db254cfd36,購入に進む,1,success,,,
,https://item.fril.jp/1e72fde485d75e796809ab0dcddcb2fe,購入に進む,1,success,,,
,https://item.fril.jp/1f0655c75e5337738d1262066b39cb0d,,0,success,,,
,https://item.fril.jp/1f4fba07fbe027bfea7e211a7ac69d9e,購入に進む,1,success,,,
,https://item.fril.jp/1fec8963c448cf4523a24dbd48e2eb48,購入に進む,1,success,,,
,https://item.fril.jp/1f6874786bd144b5e29b0293a54a098f,購入に進む,1,success,,,
,https://item.fril.jp/206a6fbd48576e2b96921f017ada8f41,,0,success,,,
,https://item.fril.jp/219e290cf7d9478a476b1fabe6014844,購入に進む,1,success,,,
,https://item.fril.jp/216f7b8e4d50e1355f056586742a8378,,0,success,,,
,https://item.fril.jp/223f7a43888ef14ef49b0b5527fe0670,購入に進む,1,success,,,
,https://item.fril.jp/2305a897da581dc7c0da864da1df73a7,購入に進む,1,success,,,
,https://item.fril.jp/236b4ff340d9abd0015649b70f821486,,0,success,,,
,https://item.fril.jp/23980c6da4ad65121717988185a59265,購入に進む,1,success,,,
,https://item.fril.jp/2403602900b0d0a8bff019b8395700f4,,0,success,,,
,https://item.fril.jp/23ae2fd66b8bf7cd2b5f863fe9509057,,0,success,,,
,https://item.fril.jp/25bb496146873af3e7254c85a43cb83c,,0,success,,,
,https://item.fril.jp/24bafb3ee116733d6579a9ceca3c2047,,0,success,,,
,https://item.fril.jp/258856e6786bc30768051781022f2bfd,購入に進む,1,success,,,
,https://item.fril.jp/26b45c27f292a6b588fa908fc174709c,,0,success,,,
,https://item.fril.jp/2618760bbe46c2353a1fb0492a208b02,購入に進む,1,success,,,
,https://item.fril.jp/260ab56364d71f545f4e24b425134175,購入に進む,1,success,,,
,https://item.fril.jp/273310411ffebe77640dfde30aef5d48,購入に進む,1,success,,,
,https://item.fril.jp/26cf8f3869f1fea5e3bc24a1acbddf3d,購入に進む,1,success,,,
,https://item.fril.jp/275a961786b9f5d8b310fe7f0eb30186,購入に進む,1,success,,,
,https://item.fril.jp/293d46c09e6358a67d623d52cd276776,購入に進む,1,success,,,
,https://item.fril.jp/29d4c5ddc7180c09256ad09e80ca001c,,0,success,,,
,https://item.fril.jp/28befaf43fad0c5c02e78f93b4a66588,購入に進む,1,success,,,
,https://item.fril.jp/2bdbedca81da12d74eb95ba29533f244,購入に進む,1,success,,,
,https://item.fril.jp/2ece5aa869347cb7dcd30b770308d6b5,購入に進む,1,success,,,
,https://item.fril.jp/2a13a3272e74756744ca5c4a45e92769,購入に進む,1,success,,,
,https://item.fril.jp/2f499e77ceb0cb848bc1201fe31637b0,購入に進む,1,success,,,
,https://item.fril.jp/2f6cbb15a99633f43acbecad1014fc98,,0,success,,,
,https://item.fril.jp/2f301e5a6a9a0247086792ed6e215160,購入に進む,1,success,,,
